Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
職	zhí	duty, profession; office, post	耳			
臏	bìn	the kneecap	肉			
莖	jīng	stem, stalk	艸			
葌	jiān		艸			
豬	zhū	pig, hog	豕			
貏	bǐ		豸			
違	wéi	disobey, violate, defy; be apart from	辵			
鄉	xiāng	country; rural; village	邑			
闅	wén		門			
闊	kuò	broad, ample, wide; be apart	門			
àà	dǐng	top, peak; carry on head; very	àà			
飢	jī	hunger, starving; hungry; a famine	食			
驅	qū	spur a horse on; expel, drive away	馬			
魚	yú	fish; surname; KangXi radical 195	魚			
鳉	jiāng	name of fish	魚			
鴱	ài		鳥			
鶎	zun		鳥			
黴	méi	mold, mildew; bacteria, fungi	黑			
祼	guàn	libation	示			
鬛	liè	variant of 鬣 U+9B23, a mane	髟			
镈	bó	large bell; hoe, spade	金			
瞓	shuì	to sleep	目			
罶	liǔ	fishing trap	网			
羑	yǒu	a guide to goodness	羊			
黉	hóng	school	黃			
霚	wù		雨			
笹	ti	small bamboo	竹			
郐	kuài		邑			
溻	tā	wet	水			
骯	āng	dirty	骨			
礡	bó	fill, extend	石			
袉	tuó		衣			
訚	yín	speak gently; respectful	言			
谉	shěn		言			
莛	tíng	stalks of grasses, etc.	艸			
哕	huì	belch; vomit	口			
滗	bì	drain	水			
瀹	yuè	to boil; to wash, to cleanse, to soak	水			
鏰	bèng	coin, money	金			
稃	fū		禾			
眰	diè		目			
眳	míng		目			
矞	yù	bore with awl; bright, charming	矛			
硚	qiáo		石			
禋	yīn	offer sacrifice; sacrifice	示			
翀	chōng	fly upward	羽			
苾	bì	smell, fragrance, aroma	艸			
襕	lán		衣			
趥	qiū		走			
茺	chōng		艸			
軿	píng	curtained carriage used by women	車			
逌	yōu	please; smiling; complacent	辵			
唪	fěng	to recite, to intone or chant	口			
庳	bì	a low-built house	广			
殪	yì	die; kill, exterminate	歹			
隃	shù	to exceed; a state in Shanxi province	阜			
糈	xǔ	sacrificial rice; rations; pay	米			
鲄	hé		魚			
龜	guī	turtle or tortoise; cuckold	龜			
碕	qí	a cape, spit, promontory	石			
鲣	jiān	skipjack, bonito	魚			
綎	tīng	silk braided cord	糸			
àà	guā		木			
轵	zhǐ	end of axle; divergent	車			
雔	chóu		隹			
à	wěi	quiet	àà			
穈	méi	millet	禾			
翃	hóng	fly	羽			
膭	guī		肉			
衒	xuàn	brag; show off, promote oneself	行			
盇	hé	why not? would it not be better to?	皿			
礦	kuàng	mine; mineral, ore	石			
譢	suì		言			
鳰	ru		鳥			
遞	dì	hand over, deliver; substitute	辵			
鴫	tian	a snipe	鳥			
笟	gū		竹			
莾	mǎng		艸			
蒼	cāng	blue; green	艸			
蟬	chán	cicada; continuous	虫			
袑	shào		衣			
訒	rèn	hesitate to say, reluctant to speak	言			
講	jiǎng	explain; discuss; talk	言			
讝	zhán		言			
購	gòu	buy, purchase; hire	貝			
趕	gǎn	pursue, follow; expel, drive away	走			
鈧	kàng	scandium	金			
鈩	lu	fireplace, stove, oven, furnace	金			
閃	shǎn	flash; avoid, dodge, evade	門			
閷	shài		門			
àà	yí	cheeks; jaw; chin; rear; nourish	àà			
髤	xiū		髟			
龤	xié	to harmonize; to accord with; to agree	à			
薿	nǐ	flower	艸			
鱥	guì		魚			
觝	dǐ	gore, butt; resist; push	角			
鮻	suō	dace; Canton dace	魚			
鳤	guǎn		魚			
穉	zhì	young grain; young, tender	禾			
觱	bì	tartar horn; chilly wind	角			
