Text	Transcription	IPA	Audio	Notes
ก	k- / -k	k- / -k̚		mid
ข	kh- / -k	kʰ- / -k̚		high
ฃ	kh- / -k	kʰ- / -k̚		high
ค	kh- / -k	kʰ- / -k̚		low
ฅ	kh- / -k	kʰ- / -k̚		low
ฆ	kh- / -k	kʰ- / -k̚		low
ง	ng- / -ng	ŋ- / -ŋ		low
จ	ch- / -t	tɕ- / -t̚		mid
ฉ	ch- / –	tɕʰ- / –		high
ช	ch- / -t	tɕʰ- / -t̚		low
ซ	s- / -t	s- / -t̚		low
ฌ	ch- / –	tɕʰ- / –		low
ญ	y- / -n	j- / -n		low
ฎ	d- / -t	d- / -t̚		mid
ฏ	t- / -t	t- / -t̚		mid
ฐ	th- / -t	tʰ- / -t̚		high
ฑ	th-, d- / -t	tʰ-, d- / -t̚		low
ฒ	th- / -t	tʰ- / -t̚		low
ณ	n- / -n	n- / -n		low
ด	d- / -t	d- / -t̚		mid
ต	t- / -t	t- / -t̚		mid
ถ	th- / -t	tʰ- / -t̚		high
ท	th- / -t	tʰ- / -t̚		low
ธ	th- / -t	tʰ- / -t̚		low
น	n- / -n	n- / -n		low
บ	b- / -p	b- / -p̚		mid
ป	p- / -p	p- / -p̚		mid
ผ	ph- / –	pʰ- / –		high
ฝ	f- / –	f- / –		high
พ	ph- / -p	pʰ- / -p̚		low
ฟ	f- / -p	f- / -p̚		low
ภ	ph- / -p	[pʰ]- / -[p̚]		low
ม	m- / -m	m- / -m		low
ย	y- / -, –n	j- / –, -n		low
ร	r- / -n	r- / -n		low
ล	l- / -n	l- / -n		low
ว	w- / –	w- / –		low
ศ	s- / -t	s- / -t̚		high
ษ	s- / -t	s- / -t̚		high
ส	s- / -t	s- / -t̚		high
ห	h- / -	h- / –		high
ฬ	l- / -n	l- / -n		low
อ	– / –	ʔ- / –		mid
ฮ	h- / –	h- / –		low
